Ticker,Score,Missing Criteria
ANANTRAJ.NS,74.0,Watchlist threshold near miss
BIOCON.NS,71.0,Watchlist threshold near miss
APOLLOHOSP.NS,71.0,Watchlist threshold near miss
ALKEM.NS,71.0,Watchlist threshold near miss
ADANIENSOL.NS,70.0,Watchlist threshold near miss
ACC.NS,69.0,Watchlist threshold near miss
ARE&M.NS,69.0,Watchlist threshold near miss
360ONE.NS,68.0,Watchlist threshold near miss
CANFINHOME.NS,68.0,Watchlist threshold near miss
BEML.NS,68.0,Watchlist threshold near miss
AMBUJACEM.NS,66.0,Watchlist threshold near miss
AFFLE.NS,66.0,Watchlist threshold near miss
BAJAJFINSV.NS,73.0,Entry threshold near miss
BAJAJHLDNG.NS,73.0,Entry threshold near miss
ABB.NS,73.0,Entry threshold near miss
CHOICEIN.NS,73.0,Entry threshold near miss
