Ticker,CMP,LTP,Trend Score,Structure Score,Volume Score,RS Score,Sector Score,Risk Score,Total Score,Signal_Strength,Entry Zone,Entry,Stop Loss,Target1,Target2,Risk Reward,Action,Pattern,Sector,Setup_Score
3MINDIA.NS,35235.0,35235.0,100.0,65.0,100.0,100.0,100.0,100.0,83.0,8.3,35058.82,35058.82,33251.25,36822.0,38012.25,0.8,Modular Momentum,Momentum Setup,Unknown,8.3
ADANIENT.NS,3212.1,3212.1,100.0,65.0,75.0,100.0,100.0,100.0,79.25,7.92,3196.04,3196.04,3015.86,3369.09,3486.83,0.8,Modular Momentum,Momentum Setup,Unknown,7.92
ANGELONE.NS,352.25,352.25,100.0,65.0,75.0,100.0,100.0,100.0,79.25,7.92,350.49,350.49,325.68,373.51,389.45,0.8,Modular Momentum,Momentum Setup,Unknown,7.92
BIOCON.NS,426.8,426.8,100.0,65.0,100.0,60.0,100.0,100.0,79.0,7.9,424.67,424.67,404.56,444.59,457.93,0.8,Modular Momentum,Momentum Setup,Unknown,7.9
CANFINHOME.NS,900.1,900.1,100.0,65.0,100.0,100.0,70.0,100.0,78.5,7.85,895.6,895.6,842.17,946.44,981.2,0.8,Modular Momentum,Momentum Setup,Unknown,7.85
CGPOWER.NS,892.55,892.55,75.0,65.0,100.0,100.0,100.0,100.0,78.0,7.8,888.09,888.09,831.59,941.32,977.89,0.8,Modular Momentum,Momentum Setup,Unknown,7.8
ADANIENSOL.NS,1568.8,1568.8,100.0,65.0,50.0,100.0,100.0,100.0,75.5,7.55,1560.96,1560.96,1446.93,1666.3,1739.43,0.8,Modular Momentum,Momentum Setup,Unknown,7.55
APOLLOHOSP.NS,8893.5,8893.5,100.0,65.0,50.0,100.0,100.0,100.0,75.5,7.55,8849.03,8849.03,8568.25,9153.7,9348.85,0.8,Modular Momentum,Momentum Setup,Unknown,7.55
360ONE.NS,1109.5,1109.5,100.0,65.0,75.0,60.0,100.0,100.0,75.25,7.53,1103.95,1103.95,1038.71,1166.13,1208.6,0.8,Modular Momentum,Momentum Setup,Unknown,7.53
AADHARHFC.NS,555.6,555.6,100.0,25.0,100.0,100.0,100.0,100.0,75.0,7.5,552.82,552.82,514.73,588.29,612.82,0.8,Modular Momentum,Momentum Setup,Unknown,7.5
BHEL.NS,383.6,383.6,75.0,65.0,100.0,60.0,100.0,100.0,74.0,7.4,381.68,381.68,351.48,409.3,428.57,0.8,Modular Momentum,Momentum Setup,Unknown,7.4
ANANTRAJ.NS,554.7,554.7,50.0,65.0,100.0,100.0,100.0,100.0,73.0,7.3,551.93,551.93,516.01,585.66,608.87,0.8,Modular Momentum,Momentum Setup,Unknown,7.3
ADANIGREEN.NS,1556.2,1556.2,100.0,65.0,25.0,100.0,100.0,100.0,71.75,7.17,1548.42,1548.42,1447.1,1643.48,1708.94,0.8,Modular Momentum,Momentum Setup,Unknown,7.17
ADANIPORTS.NS,1874.2,1874.2,100.0,65.0,25.0,100.0,100.0,100.0,71.75,7.17,1864.83,1864.83,1782.2,1947.8,2003.0,0.8,Modular Momentum,Momentum Setup,Unknown,7.17
ASIANPAINT.NS,2737.8,2737.8,100.0,65.0,25.0,100.0,100.0,100.0,71.75,7.17,2724.11,2724.11,2616.43,2834.9,2907.72,0.8,Modular Momentum,Momentum Setup,Unknown,7.17
