Ticker,Type,LTP,ATR,RSI,RVOL,EMA_Dist,RS_Rating,ROE,Mkt_Cap_Cr,Setup_Score,Sector,Sector_Score,Base_Weeks,Consol_Days,Vol_x,Stop_%,RR,Qty_1L_1pct,Risk_Grade,MACD,BB,VWAP,Divergence,Vol_Spike,_Support1,_Support2,_Resistance,Market_Bias,Market_Health,Macro_Score,Signal_Strength,Trend,Candle,Action,Pattern
IKS.NS,Pre-Breakout,1675.2,51.49,56.4,2.2,1.2%,114.7,31.4,28101.2,10.0,N/A,5.0,4,18,1.4,4.6,2.0,12,B,—,—,✅,—,✅,1660.34,1575.02,1758.0,Bearish,Risk-On,-1.2,9.8,Moderate,Consolidating,🎯 Near Breakout,"Inside Bar, VCP-Tight, OBV-Up, Base-4W"
TATACOMM.NS,Pre-Breakout,1988.8,73.4,55.3,1.8,4.3%,129.1,31.1,56684.1,10.0,N/A,5.0,3,15,1.3,5.5,2.0,9,B,—,✅,✅,—,✅,1952.63,1700.82,2049.9,Bearish,Risk-On,-1.2,9.8,Strong,Neutral,🎯 Near Breakout,"Flag, VCP-Tight, BB-KC Squeeze, MFI>60"
WELCORP.NS,Pre-Breakout,1423.4,46.06,57.2,1.8,4.0%,173.3,18.9,37535.6,10.0,N/A,5.0,3,16,0.9,4.9,2.0,14,B,—,✅,✅,Bearish,✅,1375.12,942.17,1427.0,Bearish,Risk-On,-1.2,9.8,Weak,Neutral,🎯 Near Breakout,"Flag, VCP-Tight, OBV-Up, MFI>60"
SONACOMS.NS,Pre-Breakout,613.8,15.06,57.1,1.6,2.7%,128.8,10.7,38180.5,10.0,N/A,5.0,9,22,1.1,3.7,2.0,44,B,—,✅,✅,—,✅,600.68,507.1,621.8,Bearish,Risk-On,-1.2,9.8,Weak,Consolidating,🎯 Near Breakout,"Triangle, VCP-Tight, OBV-Up, MFI>60, Base-9W"
POWERINDIA.NS,Pre-Breakout,36880.0,1302.5,52.4,1.1,5.1%,182.9,21.0,164382.9,10.0,N/A,5.0,1,5,0.6,5.3,2.0,0,B,—,—,✅,—,✅,35613.75,23622.82,38785.0,Bearish,Risk-On,-1.2,9.8,Weak,Neutral,💎 VCP Setup,"VCP-Tight, Vol-Dryup, OBV-Up"
NESTLEIND.NS,Pre-Breakout,1414.8,32.1,55.9,1.0,0.7%,119.4,76.3,272817.9,10.0,N/A,5.0,8,40,0.9,3.4,2.0,20,B,—,—,✅,—,✅,1405.0,1285.51,1454.9,Bearish,Risk-On,-1.2,9.8,Moderate,Consolidating,🎯 Near Breakout,"VCP-Tight, OBV-Up, Base-8W"
ENRIN.NS,Pre-Breakout,3833.9,142.59,55.3,1.0,6.9%,133.6,N/A,136533.0,10.0,N/A,5.0,1,4,0.7,5.6,2.0,4,B,✅,✅,✅,—,✅,3629.99,3057.0,3968.0,Bearish,Risk-On,-1.2,9.8,Moderate,Bullish Engulfing,🎯 Near Breakout,"Triangle, VCP-Tight, OBV-Up, MFI>60"
NEULANDLAB.NS,Pre-Breakout,17345.0,470.43,52.9,0.8,2.5%,129.4,N/A,22253.4,10.0,N/A,5.0,5,23,0.4,4.1,2.0,1,B,—,✅,✅,Bearish,—,16989.0,15129.11,17684.0,Bearish,Risk-On,-1.2,9.8,Moderate,Consolidating,💎 VCP Setup,"NR7, VCP-Tight, Vol-Dryup, BB-KC Squeeze, Base-5W"
SRF.NS,Pre-Breakout,2709.8,68.16,51.5,0.7,0.3%,99.2,13.8,80320.1,10.0,N/A,5.0,6,31,0.6,3.8,2.0,9,B,—,—,✅,—,✅,2711.32,2800.68,2784.0,Bearish,Risk-On,-1.2,9.8,Weak,Consolidating,💎 VCP Setup,"Inside Bar, NR7, VCP-Tight, Vol-Dryup, BB-KC Squeeze, MFI>60, Base-6W"
GRANULES.NS,Pre-Breakout,786.9,23.79,53.1,1.5,3.3%,145.8,13.5,19499.1,9.8,N/A,5.0,6,22,1.4,4.5,2.0,28,B,—,✅,✅,—,✅,769.19,607.25,804.3,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,🎯 Near Breakout,"VCP-Tight, Base-6W"
KIRLOSENG.NS,Pre-Breakout,1991.5,77.51,56.7,1.1,6.5%,183.9,16.8,28952.4,9.8,N/A,5.0,0,4,0.8,5.8,2.0,8,B,✅,✅,✅,Bearish,✅,1871.91,1288.18,2052.7,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,🎯 Near Breakout,"VCP-Tight, OBV-Up"
PREMIERENE.NS,Pre-Breakout,1079.6,33.55,58.3,1.3,2.7%,120.9,42.3,48722.0,9.7,N/A,5.0,3,16,0.7,4.7,2.0,19,B,—,—,✅,—,✅,1054.79,937.09,1136.4,Bearish,Risk-On,-1.2,9.8,Moderate,Neutral,💎 VCP Setup,"Flag, Rounding, VCP-Tight, Vol-Dryup, OBV-Up, MFI>60"
EMCURE.NS,Pre-Breakout,1776.0,58.41,59.9,0.4,3.0%,126.4,19.6,33683.5,9.5,N/A,5.0,6,25,0.5,4.9,2.0,11,B,✅,✅,✅,Bearish,—,1724.72,1491.56,1830.0,Bearish,Risk-On,-1.2,9.8,Weak,Consolidating,💎 VCP Setup,"VCP-Tight, Vol-Dryup, BB-KC Squeeze, OBV-Up, Base-6W"
HONASA.NS,Pre-Breakout,417.4,14.16,59.4,0.8,4.2%,153.2,15.4,13608.3,9.2,N/A,5.0,3,5,0.2,5.1,2.0,47,B,—,✅,✅,—,—,407.24,307.68,438.35,Bearish,Risk-On,-1.2,9.8,Strong,Neutral,💎 VCP Setup,"VCP-Tight, Vol-Dryup, OBV-Up, MFI>60"
AIAENG.NS,Pre-Breakout,4687.0,143.15,59.7,3.3,6.4%,136.4,17.0,43739.3,9.1,N/A,5.0,3,9,1.7,4.6,2.0,4,A,—,✅,✅,Bearish,🔥 SURGE,4433.67,3730.39,4775.0,Bearish,Risk-On,-1.2,9.8,Strong,Bullish Engulfing,🎯 Near Breakout,"Rounding, VCP-Tight, OBV-Up, MFI>60, Vol-Surge"
LAURUSLABS.NS,Pre-Breakout,1412.9,39.54,54.9,1.4,3.0%,164.0,17.7,76331.9,9.0,N/A,5.0,4,21,1.2,4.2,2.0,16,B,—,—,✅,—,✅,1388.68,1053.24,1457.0,Bearish,Risk-On,-1.2,9.8,Moderate,Bullish Engulfing,🎯 Near Breakout,"VCP-Tight, Base-4W"
MOTHERSON.NS,Pre-Breakout,145.54,4.14,56.2,1.2,2.7%,134.4,10.1,153271.5,9.0,N/A,5.0,3,15,0.8,4.3,2.0,161,B,—,—,✅,—,✅,142.83,117.97,151.77,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,🎯 Near Breakout,VCP-Tight
JSWSTEEL.NS,Pre-Breakout,1287.7,26.55,46.1,1.1,0.2%,119.1,27.3,314305.3,8.5,N/A,5.0,9,42,0.7,3.1,2.0,25,B,—,—,✅,—,✅,1288.79,1187.77,1328.0,Bearish,Risk-On,-1.2,9.8,Weak,Consolidating,💎 VCP Setup,"VCP-Tight, Vol-Dryup, MFI>60, Base-9W"
INDGN.NS,Pre-Breakout,532.4,14.54,63.9,1.7,3.0%,108.6,13.9,12794.5,8.4,N/A,5.0,6,31,1.2,4.1,2.0,45,B,✅,✅,✅,—,✅,516.98,513.93,536.45,Bearish,Risk-On,-1.2,9.8,Weak,Neutral,🎯 Near Breakout,"VCP-Tight, BB-KC Squeeze, OBV-Up, MFI>60, Base-6W"
